Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2009-12-31,57.59999800000001,57.959998999999996,56.990002000000004,56.990002000000004,39.84405099999999,3859700,CAT
2010-01-04,57.650002,59.189999,57.509998,58.549999,40.934711,7325600,CAT
2010-01-05,58.549999,59.439999,58.230000000000004,59.25,41.424110000000006,5697200,CAT
2010-01-06,59.18,59.93,59.049999,59.43,41.549942,4718800,CAT
2010-01-07,59.29999900000001,59.900002,58.650002,59.66999800000001,41.717746999999996,5432900,CAT
2010-01-08,59.25,60.369999,59.25,60.339999999999996,42.186172000000006,6651300,CAT
2010-01-11,60.95000099999999,64.419998,60.849998,64.12999699999999,44.835911,21958800,CAT
2010-01-12,63.009998,63.160000000000004,61.18,62.240002000000004,43.514538,13561900,CAT
2010-01-13,62.09999800000001,62.779999000000004,61.38000099999999,62.330002,43.577468999999994,8398700,CAT
2010-01-14,62.09999800000001,62.839999999999996,61.75,61.98,43.332771,6224100,CAT
2010-01-15,61.45000099999999,61.66999800000001,60.009998,60.119999,42.319140999999995,9397000,CAT
2010-01-19,59.759998,61.200001,59.349998,60.93,42.889309,8056500,CAT
2010-01-20,60.16999800000001,60.43,59.31000099999999,59.759998,42.06573500000001,6953500,CAT
2010-01-21,59.5,59.900002,56.700001,56.849998,40.017334,13874900,CAT
2010-01-22,56.580002,57.540001,54.02,54.25,38.187183,14757600,CAT
2010-01-25,55.160000000000004,56.189999,54.830002,55.139999,38.81366299999999,9777300,CAT
2010-01-26,54.990002000000004,56.939999,54.59999800000001,55.849998,39.31342299999999,15218300,CAT
2010-01-27,52.959998999999996,53.839999999999996,51.029999000000004,53.439999,37.617012,34041000,CAT
2010-01-28,53.82,53.830002,51.200001,51.860001,36.504825999999994,15623100,CAT
2010-01-29,52.779999000000004,53.779999000000004,52,52.240002000000004,36.772312000000014,13962000,CAT
2010-02-01,52.82,53.5,52.5,52.939999,37.265049000000005,7159100,CAT
2010-02-02,53.48,53.720001,52.619999,53.549999,37.694439,7665400,CAT
2010-02-03,53.200001,54,53.09999800000001,53.389998999999996,37.58180599999999,6340800,CAT
2010-02-04,52.79999900000001,52.860001,51.38000099999999,51.400002,36.181025999999996,11640200,CAT
2010-02-05,51.209999,51.98,50.689999,51.75,36.427399,15988800,CAT
2010-02-08,51.639999,52.150002,50.5,50.779999000000004,35.74461,8668700,CAT
2010-02-09,52.700001,54.25,52.549999,53.529999000000004,37.680374,15494200,CAT
2010-02-10,53.650002,54.049999,52.45000099999999,53.150002,37.412872,8581500,CAT
2010-02-11,53.09999800000001,56.27,52.66999800000001,56.150002,39.524593,16405500,CAT
2010-02-12,55.09,56.549999,54.610001,56.200001,39.559802999999995,13447700,CAT
2010-02-16,56.77,57.240002000000004,56.189999,57.119999,40.207394,7364200,CAT
2010-02-17,58.049999,58.349998,57.220001,57.5,40.474892,8450800,CAT
2010-02-18,57.150002,58.049999,56.849998,57.81000099999999,40.69309200000001,6844000,CAT
2010-02-19,57.59,58.48,57.31000099999999,58.25,41.002826999999996,8005800,CAT
2010-02-22,58.730000000000004,58.970000999999996,58,58.029999000000004,40.847958,6994800,CAT
2010-02-23,57.889998999999996,58.38000099999999,56.220001,56.660000000000004,39.883616999999994,10311000,CAT
2010-02-24,56.66999800000001,57.459998999999996,56.459998999999996,56.959998999999996,40.094784,5810100,CAT
2010-02-25,55.330002,57.02,54.209999,56.790001000000004,39.975109,9965600,CAT
2010-02-26,56.939999,57.240002000000004,56.09999800000001,57.049999,40.15813800000001,6108500,CAT
2010-03-01,57.330002,58.389998999999996,57.25,57.849998,40.721249,8398500,CAT
2010-03-02,58.279999000000004,58.82,58.02,58.150002,40.932426,6583600,CAT
2010-03-03,58.45000099999999,59.93,58.389998999999996,58.57,41.228069000000005,8833800,CAT
2010-03-04,58.790001000000004,59,57.81000099999999,58.45000099999999,41.143603999999996,6195600,CAT
2010-03-05,59.41,59.580002,58.900002,59.230000000000004,41.69265000000001,6626900,CAT
2010-03-08,59.470000999999996,59.490002000000004,58.57,58.91,41.4674,4755100,CAT
2010-03-09,58.459998999999996,59.720001,58.400002,59.18,41.657447999999995,7692500,CAT
2010-03-10,59.110001,59.5,58.43,58.779999000000004,41.375888999999994,6529900,CAT
