DDMMYYYY, target, H, L, C, velocity3N, velocity5N, velocity10N, accel3N, accel5N, accel10N, cubic10N, cubic25N, cubic50N,"	mom3N", mom5N, mom10N, closeDevMA3N, closeDevMA5N, closeDevMA10N, linDev3N, linDev5N, linDev10N, quadDev3N, quadDev5N, quadDev10N, cubicDev3N, cubicDev5N, cubicDev10N, apc3N, apc5N, apc10N, priceVarRat3N, priceVarRat5N, priceVarRat10N, deltaPVR3N, deltaPVR5N, deltaPVR10N, atrRat3N, atrRat5N, atrRat10N, deltaATRrat3N, deltaATRrat5N, deltaATRrat10N, bWdith3N, bWdith5N, bWdith10N, deltabWidth3N, deltabWidth5N, deltabWidth10N, MMIFasterN, MMIFastestN," 	deltaMMIFastest3N", deltaMMIFastest5N, deltaMMIFastest10N, HurstMod, HurstFast, HurstFaster, ibsOneN, trendNorm, ctoCNorm, highDistNorm, lowDistNorm, trendDevSlowNorm, trendDevFastNorm, priceVRSNorm, priceVRFNorm, atrRatSlowNorm, atrRatFastNorm, bWidthSlowNorm, bWidthFastNorm, ATRWeek, ATRFast, ATRMod, ATRSlow
02.01.2009,190.433,1.3841,1.384,1.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0, -1.#IND0, -1.#IND0,0.0065,0.0065,0.0065,0.0065
05.01.2009,-420.613,1.3968,1.3839,1.3965,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1, -1.#IND0, -1.#IND0,0.00741,0.00676,0.00656,0.00653
06.01.2009,-359.36,1.3986,1.3661,1.3678,-1,-1,-1,0.34598,0.41065,0.65714,0.46472,0.70712,0.76594,-1,-1,-1,-1,-1,-1,1,1,1,0.09277,0.04915,-0.19152,0.09277,0.04915,-0.19152,-1,-1,-1,0.08482,0.55185,0.81105,0.08482,0.55185,0.81105,1,1,1,1,1,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,0.92034,0.75909,1,1, -1.#IND0, -1.#IND0,0.011,0.00779,0.00682,0.00663
07.01.2009,235.312,1.371,1.3397,1.3424,-1,-1,-1,0.0575,0.02322,0.02625,0.00884,-0.0062,-0.17139,-0.68593,-0.68593,-0.68593,-1,-1,-1,1,1,1,0.43873,0.45668,0.34478,0.43873,0.45668,0.34478,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.94074,-0.85965,-0.85965,-0.85965,-0.85965,1,1,1,-0.92655,-1,-0.86417,1,0.80246,-1,-1,1,1,1,1, -1.#IND0, -1.#IND0,0.0139,0.00873,0.00707,0.00673
08.01.2009,-53.688,1.3623,1.3311,1.3596,-1,-1,-1,-0.10741,-0.07685,0.12694,-0.03444,0.14363,0.07528,0.24071,0.39944,0.39944,0.66652,0.11775,-0.10067,1,1,1,0.59917,0.58534,0.36772,0.59917,0.58534,0.36772,-0.5678,-0.32414,-0.32414,0.07283,0.56666,0.80654,-1,0.56666,0.80654,1,1,1,1,1,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.94558,-0.85965,-0.85965,-0.85965,-0.85965,1,1,1,0.86309,-1,1,0.36709,-1,-0.30352,-0.10794,0.91637,0.76393,1,1, -1.#IND0, -1.#IND0,0.01637,0.00963,0.00731,0.00683
09.01.2009,108.626,1.3747,1.3533,1.3556,-0.94735,-1,-1,-0.14535,-0.2092,0.03356,-0.18873,0.12902,0.16842,0.5627,-0.11002,-0.11002,0.66387,0.23618,-0.09215,0.9977,1,1,0.63231,0.65939,0.42451,0.63231,0.65939,0.42451,0.33405,-0.44356,-0.44356,-0.87604,0.17824,0.63314,-1,0.17824,0.63314,0.82132,1,1,-0.28525,1,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.89116,-0.7193,1,-0.7193,-0.7193,1,1,1,-0.88064,-1,0.06393,0.51285,-0.707,-0.40931,-0.07809,0.84141,0.53416,1,1, -1.#IND0, -1.#IND0,0.01709,0.0101,0.00745,0.00688
12.01.2009,-361.771,1.3799,1.3534,1.3639,-0.97842,-1,-1,-0.20773,-0.19889,-0.11277,-0.23869,0.02837,0.13602,0.77437,0.02426,0.17924,0.70124,0.75407,0.26709,1,1,1,0.68358,0.67986,0.50738,0.68358,0.67986,0.50738,1,-0.36895,-0.13115,-0.81921,-0.27649,0.46733,-1,-1,0.46733,0.86047,1,1,-0.82973,0.90833,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,1,-0.57895,-0.57895,1,1,1,-0.25594,-1,0.6043,0.21136,-1,-0.07027,0.32608,0.76973,0.29631,1,1, -1.#IND0, -1.#IND0,0.01843,0.01075,0.00764,0.00696
13.01.2009,-122.962,1.3749,1.3325,1.335,-1,-1,-1,-0.33366,-0.76286,-0.17618,-0.35565,-0.05084,0.0464,-0.91768,-0.03179,-0.58097,-0.08098,0.0889,-0.25659,1,1,1,0.77514,0.91787,0.57092,0.77514,0.91787,0.57092,-0.23944,-0.30014,-1,-0.90735,-0.84589,0.26633,-0.56063,-1,0.26633,1,1,1,-0.57696,0.58544,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,1,1,-0.57895,1,1,1,-0.9856,-1,-1,1,0.8528,-1,-0.67389,0.68284,-0.01912,1,1, -1.#IND0, -1.#IND0,0.02186,0.01202,0.00799,0.0071
14.01.2009,-27.892,1.3445,1.3221,1.325,-1,-1,-1,-0.33818,-0.30574,-0.13557,-0.34812,-0.00976,0.10869,-0.13347,0.27736,-0.21009,-0.07412,-0.09539,-0.34158,1,1,1,0.77809,0.76713,0.55901,0.77809,0.76713,0.55901,-0.38218,0.24914,-1,-0.8134,-0.78043,0.09988,-0.01453,-1,0.09988,0.716,0.88082,1,-0.75841,-0.12786,1, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,0.87692,0.88406,-0.57895,1,1,1,-0.83307,-1,-0.18602,1,0.91706,-1,-0.85162,0.61089,-0.30601,1,0.91106, -1.#IND0, -1.#IND0,0.02193,0.01243,0.00813,0.00717
15.01.2009,-76.823,1.3335,1.314,1.3227,-1,-1,-1,-0.32981,-0.2956,-0.09772,-0.30525,0.02975,0.17191,-0.21839,-0.39066,-0.05973,0.34027,0.04061,-0.24781,0.99961,1,1,0.7725,0.7608,0.54372,0.7725,0.7608,0.54372,-0.6433,-0.39087,-1,-0.9196,-0.70983,-0.05223,-0.09991,-0.73339,-0.05223,0.44429,0.72442,0.96435,-1,-0.72836,0.96435, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,0.75385,0.88406,-0.57895,1,1,1,-0.14792,-1,0.15259,1,0.53217,-1,-0.66627,0.54513,-0.59148,1,0.79056, -1.#IND0, -1.#IND0,0.02159,0.01272,0.00825,0.00722
16.01.2009,64.725,1.3259,1.3092,1.3163,-0.98516,-1,-0.99932,-0.3096,-0.25441,-0.06154,-0.26378,0.07113,0.24501,0.41344,-0.06376,-0.13988,0.32749,0.06597,-0.25277,0.99131,0.99662,0.99501,0.75877,0.73949,0.52436,0.75877,0.73949,0.52436,-0.05417,-0.45234,-1,-0.97311,-0.75228,-0.2182,-0.08178,-0.55037,-0.2182,0.18575,0.54258,0.88923,-1,-0.97195,0.88923, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,0.75385,0.76812,-0.57895,1,1,1,-0.19336,-1,-0.02973,1,0.63597,-1,-0.62044,0.47338,-0.93191,0.99754,0.6453, -1.#IND0, -1.#IND0,0.02089,0.01288,0.00833,0.00725
19.01.2009,83.706,1.3275,1.3025,1.3218,-0.99969,-1,-1,-0.33143,-0.27801,-0.08898,-0.3016,0.0487,0.22947,0.28528,-0.06419,-0.03282,0.57852,0.48412,0.0931,0.99985,1,1,0.77356,0.75547,0.54138,0.77356,0.75547,0.54138,0.34631,-0.52077,-1,-0.99561,-0.90621,-0.42992,-0.14276,-0.39123,-1,0.22476,0.5521,0.93614,-0.71673,-1,0.80235, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.83673,-0.57895,0.75385,0.65217,-0.57895,1,1,0.97069,0.55705,-1,0.49855,0.85809,-0.17149,-0.76947,-0.11926,0.39194,-1,1,0.61571, -1.#IND0, -1.#IND0,0.02148,0.01336,0.0085,0.00732
20.01.2009,-358.328,1.3385,1.3185,1.329,-0.94932,-0.96127,-0.98136,-0.32075,-0.28362,-0.13825,-0.26996,0.04801,0.24763,0.16734,0.66663,0.6501,0.77155,0.72987,0.36393,0.98525,0.98824,0.99314,0.76642,0.75358,0.55417,0.76642,0.75358,0.55417,0.58085,0.63847,-0.06765,-0.98667,-0.97256,-0.68823,-0.08246,-0.12509,-1,0.08392,0.43767,0.88742,-0.60196,-1,0.24997, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.78231,-0.4386,0.87692,0.76812,1,1,1,1,-0.03715,-1,0.5725,0.22245,-0.63966,-0.4987,0.36122,0.29559,-1,1,0.50636, -1.#IND0, -1.#IND0,0.02111,0.01358,0.0086,0.00737
21.01.2009,-53.401,1.3307,1.292,1.2971,-1,-1,-1,-0.39633,-0.75708,-0.19559,-0.36252,-0.03897,0.11954,-0.43833,-0.38018,-0.13554,-0.12015,0.01559,-0.23428,1,1,1,0.81473,0.92334,0.59591,0.81473,0.92334,0.59591,-0.02947,-0.00338,-0.14347,-0.98077,-0.9803,-0.71891,-0.05135,-0.16382,-1,0.47335,0.70111,1,-0.0337,-0.63272,0.07615, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.78231,-0.29825,1,0.88406,1,1,1,1,-0.82806,-1,-1,1,0.76419,-1,-0.72008,0.21162,-1,1,0.63457, -1.#IND0, -1.#IND0,0.02362,0.01459,0.0089,0.0075
22.01.2009,132.088,1.3018,1.2843,1.2923,-1,-1,-1,-0.37533,-0.38012,-0.1146,-0.32335,-0.00447,0.17168,-0.18589,-0.05741,-0.3721,0.03191,0.02981,-0.22051,1,0.99808,0.9967,0.80182,0.80307,0.56463,0.80182,0.80307,0.56463,-0.27263,-0.06866,-0.67664,-0.94798,-0.94928,-0.68971,-0.0224,-0.18476,-0.88026,0.19214,0.51476,0.90748,-0.31452,-0.66148,-0.3408, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.78231,-0.4386,0.87692,0.76812,0.89041,1,1,0.74532,-0.12415,-1,0.11207,1,0.56611,-1,-0.61896,0.14599,-0.899,0.97699,0.48736, -1.#IND0, -1.#IND0,0.02275,0.0147,0.00899,0.00754
23.01.2009,-210.808,1.3085,1.2823,1.3044,-0.99446,-1,-1,-0.39121,-0.45949,-0.13226,-0.32625,-0.02035,0.14737,0.06809,0.28674,0.24625,0.74409,0.43176,0.19462,1,1,1,0.8116,0.83213,0.57532,0.8116,0.83213,0.57532,-0.14673,0.49848,-0.27128,-0.98892,-0.94733,-0.75637,-0.04852,-0.16127,-0.82285,0.21061,0.51684,0.92943,-0.17481,-0.48493,-0.41942, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0, -1.#IND0,-0.72789,-0.15789,1,1,1,1,1,0.71945,0.71175,-1,0.81571,0.70683,-0.37682,-0.63339,0.17054,0.06147,-1,1,0.45286, -1.#IND0, -1.#IND0,0.02324,0.01516,0.00916,0.00761
